index,APROVA,FRETE,UF,VALOR,DESCONTO,COND_PAGTO,CONTROLE,PERC
398,1,C,SP,601.16625,52.23,21.0,-4.99,46.39
399,1,C,MS,355.5165,54.73,21.0,-7.14,21.28
400,1,C,BA,4182.331,58.08,21.0,-11.28,0.0
401,1,C,ES,3859.284,58.35,21.0,-11.76,0.0
402,1,C,GO,2790.196,59.27,21.0,-14.08,0.0
403,1,C,SP,1027.6835,61.02,21.0,-17.79,0.0
404,1,C,SP,272.183,49.97,21.0,3.23,0.0
405,1,C,SP,165.1325,50.84,21.0,3.21,0.0
406,1,C,BA,126.0,49.95,21.0,-3.78,57.14
407,1,C,SP,278.0195,46.8,21.0,9.56,0.0
408,1,C,SP,1134.25,55.02,21.0,-7.36,0.0
409,1,C,SP,452.80000000000007,54.94,21.0,-6.84,0.0
410,1,C,SP,910.4275,52.79,21.0,-8.62,61.2
411,1,C,SP,328.72925,49.95,21.0,-0.47,0.0
412,1,C,SP,96.5225,52.03,21.0,-7.03,52.38
413,1,C,SP,969.50075,51.69,21.0,-7.63,89.79
414,1,C,RS,240.88125,50.46,21.0,1.59,0.0
415,1,C,SP,1324.4522499999996,56.9,21.0,-11.01,31.87
416,1,C,SP,145.56825,50.4,21.0,1.88,0.0
417,1,C,BA,624.2774999999998,56.33,21.0,-10.63,0.0
418,1,C,SP,91.20225,50.46,21.0,-1.16,29.41
419,1,C,SP,186.861,50.46,21.0,2.24,0.0
420,1,C,PR,177.19425,55.41,21.0,-7.51,0.0
421,1,C,SP,169.51,50.03,21.0,-1.32,45.95
422,1,C,SP,154.458,51.02,21.0,-6.23,69.28
423,1,C,CE,437.18625000000014,54.55,0.5,-13.15,93.02
424,1,C,BA,457.0425,55.3,21.0,-9.26,27.44
425,1,C,CE,441.6575,51.36,0.5,-8.21,95.24
426,1,C,MG,1296.6875,58.33,21.0,-17.24,49.09
427,1,C,CE,238.89700000000002,49.92,0.5,-1.26,58.06
428,1,C,GO,1080.3435,56.74,21.0,-13.87,43.3
429,1,C,MS,96.354,58.73,21.0,-9.05,0.0
430,1,C,SP,251.9925,52.59,21.0,-2.63,0.0
431,1,C,SP,967.0625,52.64,21.0,-7.33,45.45
432,1,C,CE,604.0485,51.03,21.0,0.48,0.0
433,1,C,SP,651.0,53.0,21.0,-3.44,0.0
434,1,C,SP,325.1605,55.0,14.0,-9.17,46.82
435,1,C,SP,199.38,54.67,28.0,-0.4,0.0
436,1,C,SP,171.24,55.81,25.0,-6.83,0.0
437,1,C,SP,225.54,52.29,17.5,-1.39,34.51
438,1,C,CE,2631.4709999999995,57.09,21.0,-13.61,68.26
439,1,C,CE,230.0,54.56,21.0,-13.78,100.0
440,1,C,CE,335.47075,54.77,21.0,-12.67,84.81
441,1,C,SP,262.475,51.74,0.5,-8.12,81.82
442,1,C,MG,721.95,58.43,0.5,-15.11,21.39
443,1,C,SP,167.93625,52.44,17.5,3.16,5.41
444,1,C,BA,1055.185,57.2,21.0,-13.82,32.45
445,1,C,PR,434.95,55.48,21.0,-10.06,48.06
446,1,C,RS,149.6035,52.57,0.5,7.87,0.0
